Time (s)	Load Cell (N)	Strain Gauge 1 (ustrain)	Strain Gauge 2 (ustrain)	Strain Gauge 3 (ustrain)
16.500	-2.480	-0.000	-0.000	-0.000	-4.068
16.600	-2.424	-0.000	-0.000	-0.000	-4.068
16.700	-2.378	-0.000	-0.000	-0.000	-4.068
16.800	-2.328	-0.000	-0.000	-0.000	-3.999
16.900	-2.281	-0.000	-0.000	-0.000	-3.999
17.000	-2.235	-0.000	-0.000	-0.000	-3.999
17.100	-2.194	-0.000	-0.000	-0.000	-3.930
17.200	-2.150	-0.000	-0.000	-0.000	-3.930
17.300	-2.112	-0.000	-0.000	-0.000	-3.860
17.400	-2.096	-0.000	-0.000	-0.000	-3.860
17.500	-2.091	-0.000	-0.000	-0.000	-3.791
17.600	-2.077	-0.000	-0.000	-0.000	-3.791
17.700	-2.045	-0.000	-0.000	-0.000	-3.722
17.800	-2.011	-0.000	-0.000	-0.000	-3.722
17.900	-1.979	-0.000	-0.000	-0.000	-3.722
18.000	-1.938	-0.000	-0.000	-0.000	-3.722
18.100	-1.899	-0.000	-0.000	-0.000	-3.652
18.200	-1.865	-0.000	-0.000	-0.000	-3.652
18.300	-1.825	-0.000	-0.000	-0.000	-3.583
18.400	-1.794	-0.000	-0.000	-0.000	-3.583
18.500	-1.753	-0.000	-0.000	-0.000	-3.514
18.600	-1.719	-0.000	-0.000	-0.000	-3.514
18.700	-1.684	-0.000	-0.000	-0.000	-3.514
18.800	-1.650	-0.000	-0.000	-0.000	-3.444
18.900	-1.617	-0.000	-0.000	-0.000	-3.444
19.000	-1.586	-0.000	-0.000	-0.000	-3.444
19.100	-1.554	-0.000	-0.000	-0.000	-3.375
19.200	-1.528	-0.000	-0.000	-0.000	-3.375
19.300	-1.495	-0.000	-0.000	-0.000	-3.305
19.400	-1.468	-0.000	-0.000	-0.000	-3.305
19.500	-1.438	-0.000	-0.000	-0.000	-3.305
19.600	-1.412	-0.000	-0.000	-0.000	-3.235
19.700	-1.381	-0.000	-0.000	-0.000	-3.235
19.800	-1.350	-0.000	-0.000	-0.000	-3.166
19.900	-1.325	-0.000	-0.000	-0.000	-3.166
20.000	-1.296	-0.000	-0.000	-0.000	-3.166
20.100	-1.273	-0.000	-0.000	-0.000	-3.096
20.200	-1.244	-0.000	-0.000	-0.000	-3.096
20.300	-1.224	-0.000	-0.000	-0.000	-3.027
20.400	-1.210	-0.000	-0.000	-0.000	-3.027
20.500	-1.205	-0.000	-0.000	-0.000	-3.027
20.600	-1.208	-0.000	-0.000	-0.000	-3.006
20.700	-1.214	-0.000	-0.000	-0.000	-3.006
20.800	-1.221	-0.000	-0.000	-0.000	-3.006
